As of date,As of time,Number of confirmed cases,Number of ruled out cases,Number of cases still hospitalised for investigation,Number of cases fulfilling the reporting criteria,Number of death cases,Number of discharge cases,Number of probable cases,Number of hospitalised cases in critical condition
15/02/2020,12:00,56,1312,149,1517,1,1,0,
16/02/2020,12:00,57,1341,136,1534,1,2,0,
17/02/2020,12:00,60,1366,123,1549,1,2,0,
18/02/2020,12:00,61,1384,133,1578,1,4,0,
19/02/2020,12:00,63,1417,129,1609,2,5,0,
20/02/2020,12:00,67,1448,113,1628,2,5,0,
21/02/2020,12:00,68,1472,111,1652,2,6,1,
22/02/2020,12:00,68,1494,108,1671,2,11,1,
23/02/2020,12:00,74,1510,119,1703,2,12,0,
24/02/2020,12:00,77,1538,116,1731,2,19,0,
25/02/2020,12:00,85,1566,112,1763,2,18,0,
26/02/2020,12:00,91,1601,128,1820,2,24,0,
27/02/2020,12:00,92,1663,134,1889,2,26,0,
28/02/2020,12:00,94,1718,124,1936,2,30,0,
29/02/2020,12:00,94,1770,120,1984,2,33,0,
01/03/2020,12:00,97,1805,129,2033,2,36,2,
02/03/2020,12:00,99,1853,135,2088,2,36,1,
03/03/2020,12:00,100,1898,136,2135,2,37,1,
04/03/2020,12:00,103,1940,134,2178,2,43,1,
05/03/2020,12:00,104,1979,127,2211,2,46,1,
06/03/2020,12:00,106,2011,131,2249,2,51,1,
07/03/2020,12:00,108,2055,117,2281,2,55,1,
08/03/2020,12:00,113,2079,113,2306,3,59,1,
09/03/2020,12:00,115,2096,134,2346,3,60,1,
10/03/2020,12:00,117,2132,136,2386,3,65,1,
11/03/2020,12:00,129,2156,146,2432,3,67,1,
12/03/2020,12:00,130,2190,155,2476,3,75,1,
13/03/2020,12:00,132,2234,156,2523,4,78,1,
14/03/2020,12:00,139,2288,153,2581,4,81,1,
15/03/2020,12:00,147,2330,167,2645,4,84,1,
16/03/2020,12:00,156,2395,174,2726,4,88,1,
17/03/2020,12:00,164,2451,270,2886,4,92,1,
18/03/2020,12:00,184,2636,238,3059,4,95,1,
19/03/2020,12:00,206,2752,362,3321,4,98,1,
20/03/2020,12:00,250,3046,291,3588,4,98,1,
21/03/2020,16:00,273,3248,311,3831,4,100,1,
22/03/2020,16:00,317,3327,464,4096,4,100,1,
23/03/2020,16:00,351,3647,310,4309,4,101,1,
24/03/2020,16:00,382,3881,293,4557,4,102,1,
25/03/2020,16:00,407,4054,301,4756,4,106,1,
26/03/2020,16:00,452,4251,262,4966,4,110,1,
27/03/2020,16:00,494,4573,224,5292,4,111,1,
28/03/2020,12:00,526,4834,233,5594,4,112,1,
29/03/2020,12:00,577,5023,197,5798,4,118,1,
30/03/2020,12:00,623,5181,184,5989,4,124,1,
31/03/2020,12:00,680,5393,197,6271,4,128,1,
01/04/2020,12:00,737,5564,149,6451,4,147,1,
02/04/2020,12:00,784,5671,141,6597,4,154,1,
03/04/2020,12:00,831,5757,133,6722,4,173,1,
04/04/2020,12:00,853,5883,151,6888,4,186,1,
05/04/2020,12:00,882,6057,132,7072,4,206,1,
06/04/2020,12:00,914,,,,4,216,1,12
07/04/2020,12:00,935,,,,4,236,1,14
08/04/2020,12:00,960,,,,4,264,1,14
09/04/2020,12:00,973,,,,4,293,1,14
10/04/2020,12:00,989,,,,4,309,1,15
11/04/2020,12:00,1000,,,,4,336,1,14
12/04/2020,12:00,1004,,,,4,360,1,13
13/04/2020,12:00,1009,,,,4,397,1,13
14/04/2020,12:00,1012,,,,4,434,1,13
15/04/2020,12:00,1016,,,,4,459,1,10
16/04/2020,12:00,1017,,,,4,485,1,9
17/04/2020,12:00,1021,,,,4,532,1,9
18/04/2020,12:00,1023,,,,4,568,1,9
19/04/2020,12:00,1025,,,,4,602,1,8
20/04/2020,12:00,1025,,,,4,630,1,8
21/04/2020,12:00,1029,,,,4,650,1,8
22/04/2020,12:00,1033,,,,4,678,1,8
23/04/2020,12:00,1035,,,,4,699,1,9
24/04/2020,12:00,1035,,,,4,725,1,7
25/04/2020,12:00,1037,,,,4,753,1,4
26/04/2020,12:00,1037,,,,4,772,1,4
27/04/2020,12:00,1037,,,,4,787,1,4
28/04/2020,12:00,1037,,,,4,811,1,4
29/04/2020,12:00,1037,,,,4,830,1,4
30/04/2020,12:00,1037,,,,4,846,1,4
01/05/2020,12:00,1039,,,,4,859,1,4
02/05/2020,12:00,1039,,,,4,864,1,4
03/05/2020,12:00,1039,,,,4,879,1,3
04/05/2020,12:00,1040,,,,4,900,1,1
05/05/2020,12:00,1040,,,,4,920,1,1
06/05/2020,12:00,1040,,,,4,932,1,2
07/05/2020,12:00,1044,,,,4,944,1,1
08/05/2020,12:00,1044,,,,4,960,1,1
09/05/2020,12:00,1044,,,,4,967,1,1
10/05/2020,12:00,1047,,,,4,982,1,1
11/05/2020,12:00,1047,,,,4,985,1,1
12/05/2020,12:00,1047,,,,4,991,1,1
13/05/2020,12:00,1050,,,,4,1008,1,1
14/05/2020,12:00,1051,,,,4,1009,1,1
15/05/2020,12:00,1052,,,,4,1019,1,1
16/05/2020,12:00,1052,,,,4,1022,1,1
17/05/2020,12:00,1055,,,,4,1024,1,1
18/05/2020,12:00,1055,,,,4,1025,1,1
19/05/2020,12:00,1055,,,,4,1025,1,1
20/05/2020,12:00,1055,,,,4,1026,1,1
21/05/2020,12:00,1063,,,,4,1029,1,1
22/05/2020,12:00,1065,,,,4,1029,1,1
23/05/2020,12:00,1065,,,,4,1029,1,1
24/05/2020,12:00,1065,,,,4,1030,1,1
25/05/2020,12:00,1065,,,,4,1030,1,0
26/05/2020,12:00,1065,,,,4,1033,1,1
27/05/2020,12:00,1066,,,,4,1034,1,1
28/05/2020,12:00,1066,,,,4,1035,1,1
29/05/2020,12:00,1079,,,,4,1035,1,1
30/05/2020,12:00,1082,,,,4,1036,1,1
31/05/2020,12:00,1084,,,,4,1037,1,2
01/06/2020,12:00,1087,,,,4,1037,1,2
02/06/2020,12:00,1093,,,,4,1038,1,2
03/06/2020,12:00,1093,,,,4,1039,1,2
04/06/2020,12:00,1099,,,,4,1042,1,2
05/06/2020,12:00,1102,,,,4,1045,1,2
06/06/2020,12:00,1105,,,,4,1048,1,2
07/06/2020,12:00,1106,,,,4,1049,1,2
08/06/2020,12:00,1107,,,,4,1049,1,3
09/06/2020,12:00,1107,,,,4,1050,1,3
10/06/2020,12:00,1107,,,,4,1051,1,4
11/06/2020,12:00,1107,,,,4,1055,1,4
12/06/2020,12:00,1108,,,,4,1060,1,3
13/06/2020,12:00,1109,,,,4,1061,1,3
14/06/2020,12:00,1109,,,,4,1067,1,3
15/06/2020,12:00,1112,,,,4,1067,1,3
16/06/2020,12:00,1112,,,,4,1069,1,3
17/06/2020,12:00,1120,,,,4,1071,1,3
18/06/2020,12:00,1124,,,,4,1072,1,3
19/06/2020,12:00,1127,,,,4,1074,1,3
20/06/2020,12:00,1128,,,,4,1077,1,3
21/06/2020,12:00,1131,,,,5,1078,1,2
22/06/2020,12:00,1161,,,,5,1078,1,2
23/06/2020,12:00,1177,,,,6,1083,1,1
24/06/2020,12:00,1179,,,,6,1086,1,1
25/06/2020,12:00,1193,,,,7,1088,1,1
26/06/2020,12:00,1196,,,,7,1091,1,1
27/06/2020,12:00,1197,,,,7,1095,1,1
28/06/2020,12:00,1199,,,,7,1104,1,1
29/06/2020,12:00,1203,,,,7,1105,1,1
30/06/2020,12:00,1205,,,,7,1107,1,1
01/07/2020,12:00,1233,,,,7,1117,1,1
02/07/2020,12:00,1242,,,,7,1120,1,1
03/07/2020,12:00,1247,,,,7,1125,1,1
04/07/2020,12:00,1258,,,,7,1145,1,1
05/07/2020,12:00,1268,,,,7,1156,1,1
06/07/2020,12:00,1285,,,,7,1157,1,1
07/07/2020,12:00,1299,,,,7,1161,1,1
08/07/2020,12:00,1323,,,,7,1167,1,1
09/07/2020,12:00,1365,,,,7,1176,1,2
10/07/2020,12:00,1403,,,,7,1187,1,2
11/07/2020,12:00,1431,,,,7,1197,1,2
12/07/2020,12:00,1469,,,,7,1214,1,4
13/07/2020,12:00,1521,,,,7,1217,1,5
14/07/2020,12:00,1569,,,,8,1229,1,6
15/07/2020,12:00,1588,,,,8,1241,1,7
16/07/2020,12:00,1655,,,,10,1254,1,6
17/07/2020,12:00,1713,,,,10,1264,1,8
